Tm/s,Flow ,Velocity,S,Status
101.6,27.154,2.0115,"844,844",No Leaking
101.6,27.219,2.0155,"844,844",No Leaking
101.6,27.156,2.0019,"844,844",No Leaking
101,27.169,2.0043,"844,844",No Leaking
101,27.196,2.0123,"844,844",No Leaking
101,27.208,2.0073,"844,844",No Leaking
101,27.171,2.0112,"844,844",No Leaking
101,27.036,2.0081,"844,844",No Leaking
101,27.218,2.0001,"844,844",No Leaking
101,27.173,2.0054,"844,844",No Leaking
101,27.117,2.0069,"844,844",No Leaking
101.5,27.109,2.0034,"844,844",No Leaking
101.5,27.154,2.0156,"844,844",No Leaking
101.5,27.219,2.0149,"844,844",No Leaking
101.5,27.156,2.0286,"844,844",No Leaking
101.5,27.169,2.0056,"844,844",No Leaking
101.5,27.196,2.0032,"844,844",No Leaking
101.5,27.208,2.0061,"844,844",No Leaking
101.5,27.171,2.0095,"844,844",No Leaking
101.5,27.036,2.0172,"844,844",No Leaking
101.5,27.218,2.0081,"844,844",No Leaking
101.5,27.171,2.0063,"844,844",No Leaking
101.5,27.117,2.0049,"844,844",No Leaking
101.4,22.152,1.6295,"844,844",Leaking
101.4,22.168,1.6232,"844,844",Leaking
101.4,22.084,1.6543,"844,844",Leaking
101.4,22.039,1.6291,"844,844",Leaking
101,29.215,2.1605,"809,809",No Leaking
102.7,29.142,2.1542,"809,809",No Leaking
102.7,29.028,2.1431,"809,809",No Leaking
101.8,29.242,2.1888,"809,809",No Leaking
101.8,29.779,2.2002,"809,809",No Leaking
101.8,29.746,2.2047,"809,809",No Leaking
101.8,29.707,2.1952,"809,809",No Leaking
102.4,29.07,2.1501,"809,809",No Leaking
101.8,29.651,2.1957,"809,809",No Leaking
101.8,29.66,2.1927,"809,809",No Leaking
101.7,29.611,2.1893,"809,809",No Leaking
101.7,29.534,2.1875,"809,809",No Leaking
101.7,29.559,2.1914,"809,809",No Leaking
101.7,29.592,2.187,"809,809",No Leaking
102.6,26.955,1.994,"809,809",Leaking
102,26.962,1.9963,"809,809",Leaking
101.9,26.193,1.9349,"809,809",Leaking
101,26.098,1.93,"809,809",Leaking
101,25.961,1.9198,"809,809",Leaking
101.7,25.945,1.9202,"809,809",Leaking
101.6,26.409,2.0007,"809,809",Leaking
101.8,26.526,1.9871,"809,809",Leaking
102.1,25.822,1.867,"809,809",Leaking
102.3,24.91,1.8305,"809,809",Leaking
102.3,24.753,1.828,"809,809",Leaking
102.4,24.618,1.8239,"809,809",Leaking
102.4,24.624,1.8193,"809,809",Leaking
102.4,24.588,1.826,"809,809",Leaking
102.4,24.694,1.822,"809,809",Leaking
102.4,24.642,1.8215,"809,809",Leaking
102.4,24.642,1.8234,"809,809",Leaking
102.4,24.609,1.8219,"809,809",Leaking
102.4,24.622,1.8224,"809,809",Leaking
102.4,24.638,1.8219,"809,809",Leaking
102.4,24.616,1.8209,"809,809",Leaking
102.4,24.628,1.8217,"809,809",Leaking
102.4,24.555,1.8213,"809,809",Leaking
101.5,29.534,2.1952,"809,809",No Leaking
101.6,29.687,2.2107,"809,809",No Leaking
101.6,29.851,2.2175,"809,809",No Leaking
101.7,29.806,2.196,"809,809",No Leaking
101.7,29.743,2.2712,"809,809",No Leaking
101.6,30.524,2.2358,"809,809",No Leaking
101.7,29.833,2.1968,"809,809",No Leaking
101.7,29.566,2.1838,"809,809",No Leaking
101.6,29.496,2.1885,"809,809",No Leaking
101.8,29.563,2.1861,"809,809",No Leaking
101.9,29.442,2.1659,"809,809",No Leaking
101.9,28.99,2.1294,"809,809",No Leaking
102,28.456,2.1017,"809,809",No Leaking
102.1,28.353,2.0957,"809,809",No Leaking
102.1,28.281,2.09,"809,809",No Leaking
102.1,28.213,2.086,"809,809",No Leaking
102.1,28.146,2.0771,"809,809",No Leaking
101.9,28.166,2.0894,"809,809",No Leaking
102.1,28.184,2.0856,"809,809",No Leaking
102.1,28.144,2.072,"809,809",No Leaking
102.4,29.023,2.1442,"809,809",No Leaking
102.7,28.947,2.143,"809,809",No Leaking
102.7,28.886,1.1402,"809,809",No Leaking
102.7,28.998,2.1413,"809,809",No Leaking
102.7,28.897,2.1375,"809,809",No Leaking
102.7,28.893,2.1409,"809,809",No Leaking
102.7,28.967,2.1457,"809,809",No Leaking
102.7,28.99,2.1477,"809,809",No Leaking
102.7,29.008,2.1457,"809,809",No Leaking
102.7,28.969,2.1357,"809,809",No Leaking
102.7,28.841,2.1279,"809,809",No Leaking
102.7,28.737,2.1213,"809,809",No Leaking
102.7,28.657,2.122,"809,809",No Leaking
102.7,28.665,2.1196,"809,809",No Leaking
102.7,28.665,2.1196,"809,809",No Leaking
102.7,28.636,2.1137,"809,809",No Leaking
102.7,28.664,2.1166,"809,809",No Leaking
102.7,28.589,2.1195,"809,809",No Leaking
102.7,28.625,2.1184,"809,809",No Leaking
102.7,28.602,2.1083,"809,809",No Leaking
102.7,28.504,2.1044,"809,809",No Leaking
102.7,28.441,2.1024,"809,809",No Leaking
102.7,28.416,2.1074,"809,809",No Leaking
102.7,28.438,2.1172,"809,809",No Leaking
102.7,28.562,2.1198,"809,809",No Leaking
102.7,28.568,2.1196,"809,809",No Leaking
102.7,28.647,2.1131,"809,809",No Leaking
102.7,28.582,2.1133,"809,809",No Leaking
102.7,28.517,2.1093,"809,809",No Leaking
102.7,28.238,2.0888,"809,809",No Leaking
102.6,28.209,2.0797,"809,809",No Leaking
102.6,28.101,2.0812,"809,809",No Leaking
102.6,28.126,2.0919,"809,809",No Leaking
102.6,28.242,2.0904,"809,809",No Leaking
102.6,28.243,2.0941,"809,809",No Leaking
102.6,28.279,2.0968,"809,809",No Leaking
102.6,28.317,2.0942,"809,809",No Leaking
102.6,28.297,2.0822,"809,809",No Leaking
102.6,28.263,2.0832,"809,809",No Leaking
102.4,24.609,1.8169,"809,809",Leaking
102.4,24.532,1.8162,"809,809",Leaking
102.4,24.577,1.8267,"809,809",Leaking
102.4,24.741,1.8301,"809,809",Leaking
102.4,24.706,1.8266,"809,809",Leaking
102.4,24.658,1.8201,"809,809",Leaking
102.4,24.566,1.8124,"809,809",Leaking
102.4,24.552,1.8191,"809,809",Leaking
102.4,24.571,1.8202,"809,809",Leaking
